"","dmel_gene","tissue","treatment","logFC.hyb_sim","logCPM.hyb_sim","F.hyb_sim","PValue.hyb_sim","FDR.hyb_sim","logFC.hyb_sec","logCPM.hyb_sec","F.hyb_sec","PValue.hyb_sec","FDR.hyb_sec","inher"
"14579","Vps29","Fat Body","Response",0.0884203687613149,4.22923822494301,0.116244870785301,0.735766842370578,0.981746895740978,0.394746811950708,4.22923822494301,2.39383795205951,0.133388196137249,0.452692304674463,"Conserved"
"14580","Vps29","Fat Body","Wasp",0.73737003077014,4.22923822494301,16.1006232889029,0.000424435170634482,0.00237234911460376,0.0593837952146058,4.22923822494301,0.108922671317625,0.743906092582469,0.819252964105117,"Conserved"
"14581","Vps35","Fat Body","Control",0.8505197078131,4.68332800832411,79.559604680575,1.47532364061533e-09,7.88267007550276e-08,-0.416865390817569,4.68332800832411,19.9137145362085,0.000127564807119946,0.00104945285857452,"Conserved"
"14582","Vps35","Fat Body","Response",-0.270947475892832,4.68332800832411,4.07142171042345,0.0535930629312565,0.61983567365768,-0.091343061980511,4.68332800832411,0.480012888705331,0.494298396138673,0.773109452443521,"Conserved"
"14583","Vps35","Fat Body","Wasp",0.579572231920268,4.68332800832411,37.0525954076446,1.64157858955512e-06,2.48689146692054e-05,-0.50820845279808,4.68332800832411,29.5916351499525,9.18942392280261e-06,7.43684812254172e-05,"Conserved"
"14584","Vps37B","Fat Body","Control",0.360447327714003,4.70025003881656,6.94847692714702,0.0136998486084117,0.0411824245222008,0.0582994130235107,4.70025003881656,0.182883020614533,0.672278875780031,0.772025360238266,"Conserved"
"14585","Vps37B","Fat Body","Response",-0.0402348639941383,4.70025003881656,0.0428940867384197,0.837469750350933,0.990374216236965,-0.497033979828475,4.70025003881656,6.6597015640627,0.0155811122474152,0.197277841186138,"Conserved"
"14586","Vps37B","Fat Body","Wasp",0.320212463719865,4.70025003881656,5.39392106548677,0.027940149834941,0.0686046918688494,-0.438734566804964,4.70025003881656,10.3862044415091,0.00329014921181354,0.0108557446437593,"Conserved"
"14587","Vps39","Fat Body","Control",0.0686849022097991,3.94855462829161,0.45023819503569,0.538216238741035,0.660834319323994,-0.432868836174586,3.94855462829161,18.0667075382341,0.00022518156500406,0.00169534423712905,"Conserved"
"14588","Vps39","Fat Body","Response",0.0748862850063626,3.94855462829161,0.268005770805526,0.608863868589336,0.970191547852881,0.218632001411459,3.94855462829161,2.32439312854498,0.138920492809408,0.458973356894912,"Conserved"
"14589","Vps39","Fat Body","Wasp",0.143571187216162,3.94855462829161,1.97253273148725,0.171512367031409,0.28265390957803,-0.214236834763127,3.94855462829161,4.48986273250044,0.0433839927562071,0.0902365257453299,"Conserved"
"14590","Vps4","Fat Body","Control",0.327401270777009,6.253373863728,11.7579090963493,0.00194899120085663,0.00903408328083638,-0.0101065965248223,6.253373863728,0.0112443442975764,0.91633043612615,0.946227335226692,"Conserved"
"14591","Vps4","Fat Body","Response",0.0837088154285592,6.253373863728,0.384485716535008,0.540380210139571,0.968664052027377,-0.234200651470547,6.253373863728,3.02170894426149,0.0934831060763792,0.39668450392274,"Conserved"
"14592","Vps4","Fat Body","Wasp",0.411110086205569,6.253373863728,18.452210199204,0.000199579717607286,0.00128069362154949,-0.24430724799537,6.253373863728,6.57785716586291,0.0161645133360231,0.0401353162704283,"Conserved"
"14593","Vps45","Fat Body","Control",0.569913900297425,4.00188152362538,14.9169172616298,0.000631548238315611,0.00369362407475301,-0.609245920396621,4.00188152362538,17.7567594797977,0.000248333690351975,0.00182270326050069,"Conserved"
"14594","Vps45","Fat Body","Response",-0.233702975142007,4.00188152362538,1.26244584122154,0.271021895463875,0.876324318438612,-0.0442504363379698,4.00188152362538,0.047325064933833,0.829411024388804,0.945808966144907,"Conserved"
"14595","Vps45","Fat Body","Wasp",0.336210925155418,4.00188152362538,5.23342888551631,0.0301643860042459,0.0727959368893142,-0.653496356734591,4.00188152362538,20.5633120283372,0.000105060880614756,0.000583293313714773,"Conserved"
"14596","Vps51","Fat Body","Control",0.276825928416862,4.89221063035512,3.47049191487927,0.0733212921612122,0.149500820988536,-0.065716220901764,4.89221063035512,0.1966243038063,0.660971698508837,0.763366639962744,"Conserved"
"14597","Vps51","Fat Body","Response",0.114350768580454,4.89221063035512,0.296366861046813,0.590610961728748,0.968664052027377,0.232733109762692,4.89221063035512,1.23610097936724,0.275968505541341,0.610818487320679,"Conserved"
"14598","Vps51","Fat Body","Wasp",0.391176696997316,4.89221063035512,6.91795561562703,0.0138864077788823,0.0391165307558198,0.167016888860928,4.89221063035512,1.27619074544705,0.268486921686232,0.383806534481843,"Conserved"
"14599","Vps53","Fat Body","Control",-0.00318854527926642,4.57964143965749,0.000527811470825014,0.981838850270721,0.991031763520059,0.705118532219324,4.57964143965749,24.9264708976766,3.0591630908737e-05,0.000320342905810651,"Conserved"
"14600","Vps53","Fat Body","Response",-0.117171289400539,4.57964143965749,0.355283540750524,0.556072678654652,0.968664052027377,-0.139040301808822,4.57964143965749,0.489675881945647,0.490022416461131,0.771060626389426,"Conserved"
"14601","Vps53","Fat Body","Wasp",-0.120359834679805,4.57964143965749,0.747869427549594,0.394725590987264,0.529347355596633,0.566078230410502,4.57964143965749,16.2287670600512,0.000406862104936216,0.00183627335196659,"Conserved"
"14602","Vps60","Fat Body","Control",0.0870483343399132,5.89708183771943,0.304420108535439,0.585635980342048,0.701210888269792,0.439385883629184,5.89708183771943,7.68776120093492,0.00992329678891122,0.0323548961575458,"Conserved"
"14603","Vps60","Fat Body","Response",0.274097379288738,5.89708183771943,1.50377623419892,0.230616867040173,0.854149787979912,-0.279615788550904,5.89708183771943,1.56455337404646,0.221667853181816,0.555175182691756,"Conserved"
"14604","Vps60","Fat Body","Wasp",0.361145713628651,5.89708183771943,5.19212147340279,0.0307680742849227,0.0739296717223311,0.15977009507828,5.89708183771943,1.02349183423074,0.320620314616074,0.441931301893834,"Conserved"
"14605","vri.Dsim_GD23334","Fat Body","Control",1.87867748517744,4.43132421742832,18.6536078986651,0.000201769397178047,0.00146577797452882,0.547923597984966,4.43132421742832,1.75333979084723,0.196952808662314,0.320451377289797,"*D. sechellia* dominant"
"14606","vri.Dsim_GD23334","Fat Body","Response",-0.462228289833462,4.43132421742832,0.593228438622689,0.448098676092944,0.937582486593219,-1.07058594368416,4.43132421742832,3.40008215890713,0.0765904754266651,0.369615230107948,"Conserved"
"14607","vri.Dsim_GD23334","Fat Body","Wasp",1.41644919534397,4.43132421742832,10.9814035845964,0.00270733508197115,0.0109283087102475,-0.522662345699194,4.43132421742832,1.64694411826926,0.210668882557001,0.31885887219791,"*D. sechellia* dominant"
"14608","Vrp1","Fat Body","Control",0.399002779802821,2.68421329472782,2.97468562765346,0.0959407483711919,0.183005596413225,-0.452542486427288,2.68421329472782,3.97435353867933,0.0563294281306221,0.124069560452598,"Conserved"
"14609","Vrp1","Fat Body","Response",-0.431705075388805,2.68421329472782,1.78229577881928,0.192950419421967,0.817704859485008,0.251121612031808,2.68421329472782,0.620979694637886,0.437507231631895,0.739446746251323,"Conserved"
"14610","Vrp1","Fat Body","Wasp",-0.0327022955859836,2.68421329472782,0.0209002769042219,0.886118371183924,0.921540851070096,-0.20142087439548,2.68421329472782,0.808312572177822,0.376521480915012,0.495735953353682,"Conserved"
"14611","vrs","Fat Body","Control",0.944807443209388,3.42698649943535,5.4416430715606,0.0274385918097875,0.0703520963378916,-1.29780237184121,3.42698649943535,11.8276868166812,0.00192659269483048,0.00926741442460084,"*D. simulans* dominant"
"14612","vrs","Fat Body","Response",0.429902157883643,3.42698649943535,0.584138857006161,0.451385359951005,0.937582486593219,-0.16061151242208,3.42698649943535,0.0946321388555709,0.760751743875386,0.917518304688541,"Conserved"
"14613","vrs","Fat Body","Wasp",1.37470960109303,3.42698649943535,12.4569601860873,0.00152888092206663,0.0068195774701518,-1.45841388426329,3.42698649943535,16.0752687606711,0.00043767410623623,0.00196281826163161,"Additive"
"14614","Vsp37A","Fat Body","Control",0.427994708017404,3.10131480449947,7.91301286502828,0.00901146353393433,0.0297724491841023,0.0404719553059567,3.10131480449947,0.0718530945782103,0.790682846043988,0.8661602870354,"Conserved"
"14615","Vsp37A","Fat Body","Response",0.0508295617627708,3.10131480449947,0.0556724928273156,0.815241519040604,0.988032953198234,0.0559123277107316,3.10131480449947,0.0688020297151595,0.7950683126006,0.928046616234996,"Conserved"
"14616","Vsp37A","Fat Body","Wasp",0.478824269780175,3.10131480449947,9.74194138011142,0.0042420734910263,0.0156720172319031,0.0963842830166884,3.10131480449947,0.410248805578888,0.527210526741718,0.638175178411595,"Conserved"
"14617","Vta1","Fat Body","Control",0.101521552567853,4.70231058471305,0.346680738022094,0.560863465355566,0.679904991303198,0.5172917696701,4.70231058471305,8.82879541482124,0.00614107133050641,0.0222760502730349,"Conserved"
"14618","Vta1","Fat Body","Response",0.0109301081502467,4.70231058471305,0.00200151913373291,0.964643177816814,0.999945770375724,-0.17532024843447,4.70231058471305,0.509999769313721,0.481231658920602,0.764058891142543,"Conserved"
"14619","Vta1","Fat Body","Wasp",0.1124516607181,4.70231058471305,0.420085971748785,0.522336165393465,0.651478013514089,0.34197152123563,4.70231058471305,3.88388317553683,0.0590217878720082,0.115791479001754,"Conserved"
"14620","Vti1a","Fat Body","Control",0.341402543737964,3.56820379128096,5.53139126496773,0.0261785743028152,0.0677860008914481,-0.456368612067676,3.56820379128096,10.1595839808167,0.00359554562985518,0.0148637822252499,"Conserved"
"14621","Vti1a","Fat Body","Response",0.321788825737323,3.56820379128096,2.45856178502678,0.128463803818174,0.734868206732661,0.177343628537928,3.56820379128096,0.779356375679912,0.385085119854504,0.699374254589559,"Conserved"
"14622","Vti1a","Fat Body","Wasp",0.663191369475286,3.56820379128096,20.7913986470119,9.82067037589695e-05,0.000724019452490088,-0.279024983529747,3.56820379128096,3.90261217972784,0.0584527540716652,0.114893882508744,"Conserved"
"14623","Vti1b","Fat Body","Control",0.901627105838238,3.20587393419318,15.3433987798118,0.000546506148070878,0.00330363631358174,-0.697143334316855,3.20587393419318,9.96321493474215,0.00388511925596186,0.0157980012953146,"Conserved"
"14624","Vti1b","Fat Body","Response",-0.176886855920526,3.20587393419318,0.289850213738781,0.594701629933829,0.968664052027377,-0.701679383029333,3.20587393419318,5.09222345116905,0.0322840806494994,0.266570690811387,"Conserved"
"14625","Vti1b","Fat Body","Wasp",0.724740249917712,3.20587393419318,9.58072793792761,0.00452451980197368,0.0164947460719055,-1.39882271734619,3.20587393419318,39.6962588339412,9.37048545560179e-07,1.08789584646928e-05,"*D. simulans* dominant"
"14626","w.Dsim_GD28510","Fat Body","Control",1.56212076184295,1.89667607658205,3.55615764388931,0.0703300595947266,0.144588360002564,-0.142418470599422,1.89667607658205,0.0324106831738494,0.858498665414524,0.908794177342303,"*D. sechellia* dominant"
"14627","w.Dsim_GD28510","Fat Body","Response",-0.415161500606531,1.89667607658205,0.110191924337751,0.742536586691079,0.983148095722954,0.617576834847191,1.89667607658205,0.281026032655313,0.600442980354185,0.839032949769388,"Conserved"
"14628","w.Dsim_GD28510","Fat Body","Wasp",1.14695926123642,1.89667607658205,1.60819057952647,0.215773176882402,0.338012899094784,0.475158364247769,1.89667607658205,0.306931595029941,0.584213703829184,0.690851474137843,"Conserved"
"14629","wac","Fat Body","Control",0.956036598021358,2.92285637354797,7.5662028446337,0.0104568355024194,0.0334793915022694,-1.52115031385045,2.92285637354797,21.5927624709147,7.76935284751874e-05,0.00070448748721388,"*D. simulans* dominant"
"14630","wac","Fat Body","Response",0.653123303482627,2.92285637354797,1.77085046436544,0.194341356749123,0.819068873355717,0.727255839699346,2.92285637354797,2.59200832778157,0.118966675950733,0.43219907003733,"Conserved"
"14631","wac","Fat Body","Wasp",1.60915990150399,2.92285637354797,21.3658843835261,8.29867062924523e-05,0.000627642227651744,-0.793894474151102,2.92285637354797,6.27320563113086,0.0185563070205492,0.0449348389790979,"*D. sechellia* dominant"
"14632","wake","Fat Body","Control",-0.824831071296748,1.58088516752058,4.14308576420381,0.0516684634770652,0.114106931118905,-0.182147911157824,1.58088516752058,0.196284549833424,0.661245462454005,0.763366639962744,"Conserved"
"14633","wake","Fat Body","Response",0.365708371089779,1.58088516752058,0.425146547751898,0.519860300336514,0.957829678782701,0.447882868052285,1.58088516752058,0.615213195582942,0.439619260022579,0.740246730956353,"Conserved"
"14634","wake","Fat Body","Wasp",-0.459122700206969,1.58088516752058,1.36842672552198,0.252245503724119,0.380050912069481,0.265734956894461,1.58088516752058,0.450356135954206,0.507833316881202,0.621108036357209,"Conserved"
"14635","wal","Fat Body","Control",-0.486494238297688,9.34103571164184,21.4974363550518,7.98718782685477e-05,0.000709988127220776,-0.281624295570593,9.34103571164184,7.2250636685518,0.0121289221634594,0.0381446925507782,"Conserved"
"14636","wal","Fat Body","Response",0.0180954248552742,9.34103571164184,0.0149426677265884,0.903608766043652,0.999945770375724,-0.126988332839461,9.34103571164184,0.735751302828632,0.398531303102567,0.712498515798334,"Conserved"
"14637","wal","Fat Body","Wasp",-0.468398813442414,9.34103571164184,19.9372070115329,0.000126666132064562,0.000887734852226808,-0.408612628410054,9.34103571164184,15.1896675227502,0.000575643308694517,0.00247009637383684,"Conserved"
"14638","wap","Fat Body","Control",0.0223977409476697,3.40337441739232,0.0250245489017888,0.8754761899378,0.922442999957788,0.117026376998778,3.40337441739232,0.676986817591536,0.417791815503404,0.552129662562877,"Conserved"
"14639","wap","Fat Body","Response",0.369801858167918,3.40337441739232,3.41300956784367,0.0756042964008061,0.66147568889803,0.215490564719877,3.40337441739232,1.16205645262287,0.290520680395819,0.62358412997271,"Conserved"
