"logFC","logCPM","F","PValue","FDR","dmel_gene","species","tissue"
-0.526851430804017,8.5984373186037,22.5652495147907,5.87898919040264e-05,0.0100733438921072,"Prosbeta5","*D. simulans*","Fat Body"
-0.492777736639739,7.89762280268627,22.1927196136657,6.53703803619528e-05,0.0104788105465499,"Prosalpha3","*D. simulans*","Fat Body"
5.66495729044794,3.46968454329378,22.6938527335388,6.53739438404202e-05,0.0104788105465499,"alphaTub85E","*D. simulans*","Fat Body"
-3.46424778619512,3.50741968818959,22.3408615622772,7.11689892274234e-05,0.0108366225276632,"Yp2","*D. simulans*","Fat Body"
-0.498008043226494,8.40121281645455,21.7739711200887,7.37269583018191e-05,0.0108366225276632,"Prosbeta2","*D. simulans*","Fat Body"
-0.566617327066554,9.21358349819096,21.5923904996606,7.77019032292827e-05,0.0108366225276632,"Mtpbeta","*D. simulans*","Fat Body"
4.35719210482724,0.754203682955537,21.5588834558196,7.84602998696143e-05,0.0108366225276632,"CG42675","*D. simulans*","Fat Body"
9.54013350261941,4.02496441186593,22.2122485564592,7.85104469703912e-05,0.0108366225276632,"CG18088","*D. simulans*","Fat Body"
-0.588646276909953,8.64069772206255,20.5096575059452,0.000106746980593906,0.0143311575838871,"Agpat3","*D. simulans*","Fat Body"
-0.942976592926717,8.52235291892678,20.4121481106656,0.000109886296403578,0.0143311575838871,"CG4269","*D. simulans*","Fat Body"
0.70142648632089,4.96218858425364,20.3338103794938,0.000112480407681948,0.0143311575838871,"Dbp73D","*D. simulans*","Fat Body"
7.24308073801738,10.4078956524644,20.628057635869,0.000122359979328119,0.0152001684320356,"Mtk","*D. simulans*","Fat Body"
-0.884172735159482,6.98609295209391,19.3608318821589,0.000150826573862197,0.0182195948398865,"Cyp6a17.Cyp6a23","*D. simulans*","Fat Body"
-0.532722586765316,6.39846429812275,19.2926165865051,0.00015399939289097,0.0182195948398865,"Prosalpha2","*D. simulans*","Fat Body"
-0.464492497246381,6.89757640372528,19.1946982111589,0.000158680084289968,0.0182786031852396,"Bet1","*D. simulans*","Fat Body"
-0.509980295398815,4.92764832296676,19.0943033587202,0.000163638703192829,0.0182786031852396,"CG18094","*D. simulans*","Fat Body"
-0.418903850541821,7.82658506334533,19.056798247214,0.000165533737841776,0.0182786031852396,"CG13887","*D. simulans*","Fat Body"
-0.451658528710827,5.90498045259501,18.6702769694439,0.000186501359023418,0.0197537210262394,"FBgn0188125","*D. simulans*","Fat Body"
5.87061585889454,7.14475306948235,19.1703735508974,0.000186843406768616,0.0197537210262394,"edin","*D. simulans*","Fat Body"
-0.372950763907222,6.43094286304169,18.5451949052119,0.000193886028923879,0.0200712432858907,"Exd2","*D. simulans*","Fat Body"
-0.505372887144778,6.7026350898929,18.1509096045487,0.000219301675696789,0.0222389801334152,"CG5577","*D. simulans*","Fat Body"
0.449908551066472,4.39773827879885,18.0822230539751,0.000224085464329772,0.0222696134450927,"PIG-M","*D. simulans*","Fat Body"
0.965805068615762,3.89467476977332,17.8904998663406,0.000238043475422376,0.0231897292573698,"Tollo","*D. simulans*","Fat Body"
