"","A01.SEC.wasp","A11.HYB.ctrl","A03.SEC.ctrl","A05.SIM.wasp","A07.SIM.ctrl","A09.HYB.wasp","B01.SEC.wasp","B11.HYB.ctrl","B03.SEC.ctrl","B05.SIM.wasp","B07.SIM.ctrl","B09.HYB.wasp","D01.SEC.wasp","D11.HYB.ctrl","D03.SEC.ctrl","D05.SIM.wasp","D07.SIM.ctrl","D09.HYB.wasp"
"eIF4E6",2.963019,23.78121,3.168745,51.53057,62.79914,21.57821,0.9139092,32.80195,2.789757,75.57748,36.14117,18.17646,0.9441032,25.57024,3.081202,54.44031,48.73384,20.69641
"eIF4EHP",10.13665,13.90976,10.86427,11.71933,15.73836,8.477156,9.29141,12.66252,8.075613,11.57335,14.49849,9.088231,8.024877,13.26371,9.414783,8.888214,13.20442,10.86194
"eIF4G1",458.8002,417.5172,521.7866,366.746,332.6657,313.963,466.703,282.7962,267.9635,248.4763,542.748,293.7086,371.0326,319.5596,534.7597,266.4877,415.4628,329.3811
"eIF4G2",259.3422,135.3958,197.3675,154.4194,114.9517,122.3793,229.6958,80.43713,50.0688,101.8805,194.1537,121.8977,217.3798,120.1938,194.1157,111.8963,129.5939,115.9586
"eIF4H1",145.8117,191.7079,178.506,207.8457,280.5131,176.7872,136.1725,213.2127,116.7293,185.3489,258.2413,180.6106,131.4664,191.9819,182.1333,185.7002,265.1775,173.3508
"eIF5",222.3824,244.9913,195.255,257.6529,296.0972,240.5971,205.1726,260.2449,192.4932,240.7607,301.7368,240.0447,208.5288,256.6596,202.1611,249.8223,292.6753,261.2738
"Eip55E",270.7264,343.8179,306.9156,227.3205,373.0917,341.244,331.9014,356.8418,505.6802,270.3955,305.519,355.8836,278.3924,387.1088,559.0669,266.9638,409.3371,331.8764
"Eip63E",36.33598,30.62391,32.89459,33.60689,15.58406,39.14905,37.01332,26.53099,19.38147,30.51156,22.90342,29.2843,47.5592,23.65589,31.83908,26.82336,13.88506,34.34723
"Eip74EF",53.1784,94.56395,76.04987,34.8133,53.38698,59.18596,52.54978,70.42771,37.73514,26.65377,68.29001,59.28989,62.42883,116.3651,112.4639,27.61695,55.54025,72.07047
"Eip75B",168.4243,118.5695,149.9873,109.7825,91.0356,91.39915,175.4706,79.35177,54.47368,70.49222,121.6613,94.3445,146.69,140.8414,178.1962,64.28083,85.08004,97.46393
"Eip78C",5.302245,4.48702,3.772315,1.206401,1.542976,1.849561,4.721864,2.894289,0.7341466,1.052123,3.151847,1.586834,3.186348,6.153266,5.820048,1.904617,1.769665,3.816359
"Ekar",82.65265,37.80315,69.10881,60.8371,1.080083,52.09597,109.5168,40.64065,75.76393,62.25059,2.7316,52.7983,101.9631,41.02177,72.92177,54.12287,4.90061,52.10798
"Elal",2.495174,0.448702,5.884812,8.961838,0.3085953,3.699122,106.6227,0,40.52489,6.312736,1.260739,7.35714,26.08085,9.435008,34.57793,9.681804,40.70229,10.12803
"elB",24.79579,5.833126,20.97407,5.170291,2.005869,8.477156,23.91396,5.306197,14.82976,3.331722,6.723939,9.665262,24.19265,3.965438,22.59548,2.380772,0.9528964,7.926284
"Elba2",2.495174,3.477441,4.526778,1.72343,3.703143,1.541301,3.351,3.859053,4.845368,1.40283,1.680985,1.731092,3.540387,4.102177,4.621803,1.428463,2.450305,2.495312
"elg1",129.4372,86.15079,97.77841,64.62864,81.62345,60.72726,91.2386,67.89521,63.72393,53.83361,102.3299,59.28989,98.89481,57.157,93.46312,54.28159,80.31555,65.02488
"elgi",9.045007,11.66625,9.204449,10.68527,13.73249,12.7928,12.03314,17.48633,10.71854,15.25578,13.02763,13.2717,9.086994,13.67392,10.78421,12.85617,11.57088,13.21047
"Elk",6.861729,7.852286,11.01516,1.551087,22.06456,3.236732,5.483455,9.285845,1.761952,1.928892,29.20711,3.462183,4.48449,7.657397,8.558894,3.015644,20.55534,3.669576
"elm",86.86325,67.64183,61.56418,84.27575,54.62136,98.02674,86.51674,95.14977,134.4957,101.3545,46.22708,114.9733,95.47244,67.41245,58.88519,128.7204,66.70275,76.32718
"EloA",53.4903,42.62669,45.41867,38.26016,26.84779,37.76187,41.73519,29.42528,21.29025,29.10873,35.5108,35.48738,46.02503,37.74003,42.62329,31.10875,27.49787,34.20045
"EloB",38.51925,39.59795,33.19637,48.60074,34.40837,50.55467,44.78155,41.36422,46.39807,53.83361,33.6197,44.43135,44.8449,42.66264,48.61452,61.58262,49.41449,55.77755
