"","A10.HYB.wasp","A12.HYB.ctrl","A02.SEC.wasp","A04.SEC.ctrl","A06.SIM.wasp","A08.SIM.ctrl","B10.HYB.wasp","B12.HYB.ctrl","B02.SEC.wasp","B04.SEC.ctrl","B06.SIM.wasp","B08.SIM.ctrl","C01.SEC.wasp","C10.HYB.wasp","C11.HYB.ctrl","C12.HYB.ctrl","C02.SEC.wasp","C03.SEC.ctrl","C04.SEC.ctrl","C05.SIM.wasp","C06.SIM.wasp","C07.SIM.ctrl","C08.SIM.ctrl","C09.HYB.wasp","D10.HYB.wasp","D12.HYB.ctrl","D02.SEC.wasp","D04.SEC.ctrl","D06.SIM.wasp","D08.SIM.ctrl"
"AspRS",1350.01710814286,1325.17428807382,791.446899773366,1189.81305093964,1071.98509608215,1113.28507185577,1110.72067346515,1410.42057334483,871.923002008632,1081.25506099345,1160.22857318304,1381.79128438597,1012.41616297324,1379.73995882093,1258.7055522553,1290.97253755496,862.39045282622,1035.73301381742,1134.27011006913,1203.78802717225,1012.87958539118,1401.42604807169,1355.26069419515,1190.64157921051,1183.66129195787,1146.16871157267,952.171399655112,888.058013561033,1154.27423608615,1294.41717686851
"AspRS-m",19.6305471912048,24.6557545116066,22.4081579912483,27.9358453795861,25.5776800176489,19.9687442281136,21.7291983602869,16.4107570146397,30.0510715340025,29.3684838972453,29.8779579404171,24.1960612978139,18.0508308127013,21.5708433999435,17.3717248931133,15.8056943280532,21.6772597418225,22.9567716398394,18.0338997763184,31.0021764471694,30.0199107294537,23.8688520796006,22.9111584999073,23.4659437205156,21.8968086839523,17.6904306989061,27.478188337079,20.1215759063938,25.9324807237617,24.1174796471917
"asrij",43.4951339726696,45.1055273712333,51.5156621860656,77.8212835574184,38.8920887939592,50.8596192771291,46.833806174599,44.3219657954443,59.2182880228873,70.0325385242002,49.5395818754013,42.3431072711743,73.8850776743486,39.3039293851732,48.0204109545347,38.9264207418171,54.2890664330598,69.8906158812887,58.4547096197907,35.9874510517393,43.8602591826433,40.2062702505893,37.6501840316948,43.7860906379186,40.2469511726165,38.8048157266327,62.9563555571051,53.206090137099,38.0621894493922,47.0543833675979
"Ass",51.193387773142,50.1817121236229,94.8304005712104,44.987595156736,80.2368318361861,82.964064417356,43.5638782660121,63.0586568751511,50.3797375717101,23.1290257798818,77.2971686071437,94.331941681342,62.0006797479739,69.0796334648499,35.4879522816458,67.2721700739456,51.1238028424397,57.9020795804837,32.492112528022,82.5686106381897,56.628467966924,122.588570389405,98.5033884550155,41.6605522574371,37.3170964895525,38.2341566718292,46.2607474535634,37.7279548244884,80.0281932012862,94.2774204390223
"ast",21.9400233313466,22.7703144607191,32.2261653585477,39.364145762144,20.8475611102754,10.8118062671554,21.3072721785338,19.2535653163884,48.9066458298473,52.4975096771271,15.0353594796938,8.99177953634976,32.8502697398849,24.6145820391994,15.1382174068559,14.7606897443803,33.8587287117847,48.4642956841053,18.6557583892949,16.9810916218164,16.179562276264,8.22664319248369,9.04771864327549,21.5104484104726,19.8921712692243,17.8330954626069,35.9999049732618,23.9911097345464,15.0575694525068,10.1192222295909
"asun",6.03029881037012,6.23645555293579,10.0490193053536,6.89326054820955,5.60606685318331,4.96460491859178,8.43852363506288,7.7531135502235,5.45043944489262,5.16368947643873,5.39730853117213,5.55855462247076,7.84818730987011,4.36710326501925,6.82460620800881,7.05378093979236,6.81011257375839,5.61165528973851,8.70602058167095,2.96000679646341,7.01764146922293,3.36017820538066,5.25351405093416,8.24708891626815,6.47652087835209,6.84790865764106,6.60867820765192,5.03039397659845,4.46150206000202,4.72230370714244
"Asx",4.87556074029924,8.55699715402818,7.50788798675844,6.53045736146168,8.9346690472609,7.94336786974685,7.27822663524174,5.16874236681567,7.51276788350063,6.8849193019183,6.55387464499472,8.50131883436704,8.07242123300926,8.20486067973313,6.70052245877228,6.79252979387412,5.46727347470744,4.08120384708255,5.59672751678847,8.10107123242616,10.0391259906939,8.69011604839826,5.83723783437129,4.50614136662074,8.78956404919212,6.13458483913678,6.60867820765192,10.0607879531969,9.20184799875416,7.75807037601972
"Atac1",5.90199458036224,6.38148940300407,7.62339395578549,7.6188669217053,6.13163562066925,5.18525402608475,7.80563436243317,7.62389499105311,5.5977486190789,8.60614912739788,6.36111362602429,4.41414631784443,9.64205869498328,6.21981374108802,6.82460620800881,7.31503208571059,9.20803953634937,8.16240769416511,12.1262429530417,7.1663322440693,3.80122246249576,6.72035641076132,3.21048080890421,7.14180895841778,7.09333239057609,5.56392578433336,7.47824112971138,6.77168419926714,6.97109696875315,8.09537778367275
"Atac2",5.26047343032287,5.80135400273097,9.58699542924539,11.6097019759319,6.65720438815518,3.97168393487343,5.69600345366745,5.29796092598606,9.86971467048122,11.8334550501721,4.81902547426083,3.10625111255719,9.52994173341371,7.27850544169874,4.46701497251485,7.57628323162883,9.39987369335665,10.7131600985917,8.08416196869446,3.89474578482027,6.14043628557007,5.44580605699625,3.21048080890421,6.20657207100593,5.55130361001607,5.4212610206325,7.13041596088759,9.28688118756636,3.34612654500151,4.04768889183638
"Ate1",11.6756849307166,10.4424372049157,12.3591386858947,12.1539067560537,13.4895983654723,12.6873236808457,11.7084515436497,13.1802930353799,17.8244100765407,14.8456072447613,12.914988271019,18.1470459733604,16.3690763891577,13.6306556453631,9.9266999389219,10.4500458367294,17.6487424446696,17.6001915905435,14.1472834452153,15.5789831392811,15.3023570926111,12.5137671096935,13.5715779649132,14.9637901985896,10.9484043419761,11.6985106234701,19.6521220385439,12.7694616329038,15.8941010887572,14.6728722329069
