"dmel_gene","logFC.cis","logCPM.cis","F.cis","PValue.cis","FDR.cis","logFC.trans","logCPM.trans","F.trans","PValue.trans","FDR.trans","logFC.total","logCPM.total","F.total","PValue.total","FDR.total","Category","Category.factor","Cat.main.factor","Cat.main","sub.cat"
"CG14411",-0.072899005285991,7.36686106921094,0.120680686675709,0.732158640159445,0.999912223430608,0.222140832731297,7.36686106921094,0.562614587182798,0.462499019888887,0.739634995238008,0.149241827445306,7.36686106921094,0.510008725222332,0.483913788059104,0.645096090980989,"Conserved",7,7,"Conserved","Conserved"
"CG14431",2.60509444049831,1.1829404307088,6.42396129438269,0.0203209315275416,0.999912223430608,-3.02740820990615,1.1829404307088,5.20025190938911,0.034439502151628,0.216271873630759,-0.422313769407846,1.1829404307088,0.249684181073248,0.623098902792413,0.756118406310094,"Conserved",7,7,"Conserved","Conserved"
"CG14434",0.0854713160610547,6.31562702663144,0.0502552905352225,0.825039435794827,0.999912223430608,0.479648079144531,6.31562702663144,0.800145193480755,0.382366403173226,0.679347516584293,0.565119395205586,6.31562702663144,2.23846219128086,0.151224492375795,0.308830506110072,"Conserved",7,7,"Conserved","Conserved"
"CG14440",0.24884778078749,3.71432616425572,0.382394685548191,0.543749065204251,0.999912223430608,0.099729394156343,3.71432616425572,0.0313416548145303,0.861374852144472,0.964212906428466,0.348577174943833,3.71432616425572,0.781336118322974,0.387904414059861,0.561987306829379,"Conserved",7,7,"Conserved","Conserved"
"CG14442",0.152579365019259,5.34616928335479,0.312377164197354,0.582826246289642,0.999912223430608,-0.407315267425572,5.34616928335479,1.13387055957365,0.300445419803339,0.61157470178217,-0.254735902406313,5.34616928335479,0.903837960334868,0.35382536095423,0.529908396645223,"Conserved",7,7,"Conserved","Conserved"
"CG14443",0.731860620392753,1.52781303468388,0.322482537379664,0.576843667339959,0.999912223430608,-1.18441906204862,1.52781303468388,0.491467258911431,0.491865814682014,0.757766405504563,-0.452558441655863,1.52781303468388,0.171197757970372,0.683734345374736,0.802513734897441,"Conserved",7,7,"Conserved","Conserved"
"CG14450",-0.305963733658391,3.84968311805659,0.976751134585593,0.335560098864448,0.999912223430608,0.995457587376442,3.84968311805659,5.25441980144203,0.0336173163110855,0.213652221133706,0.689493853718051,3.84968311805659,5.128195360429,0.0355689302467184,0.116374964998314,"Conserved",7,7,"Conserved","Conserved"
"CG14478",-0.0116245205783541,5.22770138830868,0.000451709353097194,0.983267683119742,0.999912223430608,-0.0519721051828534,5.22770138830868,0.00457192315324079,0.946806076597725,0.997085656628668,-0.0635966257612074,5.22770138830868,0.0139319685852065,0.907294316248271,0.949259789488543,"Conserved",7,7,"Conserved","Conserved"
"CG14480",0.0887612558949362,5.85636059167093,0.0885058717247857,0.76934976429144,0.999912223430608,0.393473749782574,5.85636059167093,0.877368342246757,0.360808603636645,0.662910845595417,0.48223500567751,5.85636059167093,2.65739039577876,0.119720259996839,0.265457911510436,"Conserved",7,7,"Conserved","Conserved"
"CG14483",0.182502789471712,6.67346659819456,0.236231473695057,0.632561674582583,0.999912223430608,0.731415965709679,6.67346659819456,1.90512675904252,0.183708833677343,0.493162390660552,0.913918755181391,6.67346659819456,5.95629228762172,0.0247524565345738,0.090296824495074,"Conserved",7,7,"Conserved","Conserved"
