"dmel_gene","logFC.cis","logCPM.cis","F.cis","PValue.cis","FDR.cis","logFC.trans","logCPM.trans","F.trans","PValue.trans","FDR.trans","logFC.total","logCPM.total","F.total","PValue.total","FDR.total","Category","Category.factor","Cat.main.factor","Cat.main","sub.cat"
"CG2767",-0.180542781752462,7.81435351192637,1.38333389164052,0.254222317153756,0.452895212085802,-0.436803610163127,7.81435351192637,4.05456135863115,0.0586014205756157,0.231033253764105,-0.617346391915588,7.81435351192637,16.1220040745483,0.000754248067733484,0.00283784490534531,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"CG2790",-0.481258796135073,5.71826463475861,7.42887276022222,0.0135168292331541,0.049105560747168,-0.119252485239787,5.71826463475861,0.231005216736741,0.636328531074845,0.86045449921041,-0.60051128137486,5.71826463475861,11.7486615202355,0.00285831587608394,0.00876403795238949,"Cis only",1,1,"Cis related","Cis only"
"CG2794",0.29778282812761,6.43219208596159,9.28132417666675,0.00670134233178708,0.0277469237050054,0.375021632414354,6.43219208596159,7.40070739485167,0.0136683406917556,0.0841312685519381,0.672804460541963,6.43219208596159,47.483061120675,1.51695615510351e-06,1.41377097494187e-05,"Cis only",1,1,"Cis related","Cis only"
"CG2818",0.0750635661269385,7.49331112530193,0.272308433649928,0.607885235141239,0.778299663924766,-0.380333178229208,7.49331112530193,3.48842499730827,0.0774787850758655,0.279548968040486,-0.305269612102269,7.49331112530193,4.48293765287358,0.0478069196995977,0.090778078263275,"Conserved",7,7,"Conserved","Conserved"
"CG2846",0.623912566098971,5.61823445645162,9.35756412085096,0.00651862721396392,0.027179317655177,0.917483414228882,5.61823445645162,10.2779342739179,0.00470147703651134,0.0383312076778938,1.54139598032785,5.61823445645162,56.6746877438707,4.38625791099116e-07,4.97693695077567e-06,"Cis+Trans",4,4,"Cis+Trans","Cis+Trans"
"CG2852",0.413148925647681,9.74878671363472,5.68192842726687,0.0278571519843111,0.0870020584471528,0.705176892152166,9.74878671363472,8.28832913287096,0.00968875781635391,0.0660312628956937,1.11832581779985,9.74878671363472,40.8132778951152,4.19117945003731e-06,3.41180117267698e-05,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"CG2861",0.537797892936419,3.55770977935221,1.1023429873081,0.307070787873087,0.512919064607516,-1.73970993490166,3.55770977935221,6.13055627121956,0.0229845029814924,0.121122131096276,-1.20191204196524,3.55770977935221,6.22451568221128,0.0220908063421188,0.0479740648228394,"Ambiguous_total.but.no.trans.no.cis.yet.large.transFC",2.2,2,"Trans related","Trans**"
"CG2865",0.0826674186471955,4.94162160735279,0.143313828178076,0.709252433290094,0.845095448505158,-1.13301727260115,4.94162160735279,13.4566614696098,0.00165839158658711,0.0173916811515845,-1.05034985395395,4.94162160735279,22.9412792406739,0.000131140312414614,0.000632326460682899,"Trans only",2,2,"Trans related","Trans only"
"CG2875",-0.293254265597496,4.42035614745394,1.9267109862755,0.18136007695754,0.359305143823664,0.491644191577501,4.42035614745394,2.73013035267109,0.115085246734438,0.358156151341689,0.198389925980004,4.42035614745394,0.896519284793264,0.355736570975067,0.466325009863385,"Conserved",7,7,"Conserved","Conserved"
"CG2887",4.47014848876202,2.82179394787314,22.4167797233446,0.00014834520933638,0.0012540400308484,-1.39399386161891,2.82179394787314,1.39847644628949,0.251728837175525,0.563011712746672,3.07615462714311,2.82179394787314,15.7576134616469,0.000836667907261434,0.0030971390953011,"Cis only",1,1,"Cis related","Cis only"
