"logFC","logCPM","F","PValue","FDR","dmel_gene","treatment","tissue"
-2.87050097041518,3.94568635034367,222.041730987247,1.35387084861313e-14,7.31237418125942e-13,"Tsp97E","Control","Fat Body"
5.13075395983162,3.70741715185863,221.644652978716,1.38363525860267e-14,7.39277806451254e-13,"Cog3","Control","Fat Body"
1.70090779074347,5.74796599957791,219.47721417758,1.55898493863791e-14,8.2410597447785e-13,"Idh3a","Control","Fat Body"
6.88460474137256,3.59371699911744,219.205868452834,1.5825651607184e-14,8.27764871958918e-13,"l(2)03659","Control","Fat Body"
1.72442775051737,8.48759971724346,217.921084677785,1.69953317571034e-14,8.79685453135904e-13,"CG15717","Control","Fat Body"
1.85988624704169,5.53078808424351,211.544056293327,2.4349743568539e-14,1.24614202892823e-12,"CkIIalpha","Control","Fat Body"
2.24678435568689,4.68289167956622,211.381706519417,2.45767596769907e-14,1.24614202892823e-12,"CG18324","Control","Fat Body"
-1.95087651574046,5.27230130250704,211.144295419731,2.4912835988361e-14,1.25042305076935e-12,"CG9590","Control","Fat Body"
-2.74123700029463,4.65774461655159,206.849499187822,3.19271795022868e-14,1.58646154946863e-12,"RpIII128","Control","Fat Body"
-2.16618479274698,6.42054539220284,206.206576578959,3.31481599769723e-14,1.63082383094629e-12,"Oatp74D","Control","Fat Body"
2.08140780491979,5.11413392281065,205.318996166576,3.49168439649153e-14,1.70099801629082e-12,"CG30289","Control","Fat Body"
2.41646342471935,5.13595541066217,200.956752043666,4.52129373632714e-14,2.18119500736015e-12,"Cyp4e2.Cyp4e1.Cyp4e3.Dsim_GD15375","Control","Fat Body"
1.70472690172399,4.92764832296676,198.6622559144,5.18993843613494e-14,2.47969270088024e-12,"CG18094","Control","Fat Body"
-1.95837234769439,4.10281698945002,196.778888496681,5.81818928717212e-14,2.75338881599603e-12,"Tnks","Control","Fat Body"
-0.975275096221418,6.20109843286082,196.167241819789,6.03941223361922e-14,2.83111692347678e-12,"Nulp1","Control","Fat Body"
-2.08433271932349,5.48516263118109,194.133301410739,6.84243702806754e-14,3.17757659742688e-12,"alpha-Est3","Control","Fat Body"
1.79890089537699,6.44624144556591,192.98630351282,7.34524359012922e-14,3.37949216660667e-12,"CG5532","Control","Fat Body"
-1.57036104048575,5.46691741969033,191.389144144158,8.11255442445992e-14,3.69828283808636e-12,"aux","Control","Fat Body"
