logFC,logCPM,F,PValue,FDR,dmel_gene,species,tissue
-0.439087285,5.505863795,15.49845734,0.000518723,0.031054625,mxt,*D. simulans*,Fat Body
-0.614070108,4.981082912,15.40883778,0.00053459,0.03162353,Dpck,*D. simulans*,Fat Body
0.55754061,8.749909402,15.24874462,0.000564253,0.032609231,Plod,*D. simulans*,Fat Body
-0.535126594,5.185735609,15.1894874,0.000575678,0.032609231,Lis-1,*D. simulans*,Fat Body
3.966869618,4.677448811,15.49318218,0.000580933,0.032609231,CecA1.CecA2.CecC.Dsim_CecC,*D. simulans*,Fat Body
-2.094457303,10.45189707,15.38591947,0.000585461,0.032609231,Lsp2,*D. simulans*,Fat Body
4.729181739,1.63357841,15.24737754,0.000587186,0.032609231,Lcp9,*D. simulans*,Fat Body
-0.507568811,8.72360193,15.08767938,0.000595896,0.032609231,Sccpdh2,*D. simulans*,Fat Body
2.235211861,5.002379406,15.33945667,0.000597191,0.032609231,CG9928,*D. simulans*,Fat Body
-0.364148864,7.544557823,14.92188576,0.000630479,0.034052718,Slh,*D. simulans*,Fat Body
-0.420558697,8.256389264,14.85747259,0.000644494,0.034435387,Clc,*D. simulans*,Fat Body
-0.513630439,5.920194485,14.74864894,0.000668942,0.034987387,Alg7,*D. simulans*,Fat Body
-0.490610508,7.946996784,14.65207053,0.000691478,0.034987387,Rpn12,*D. simulans*,Fat Body
-0.441155617,8.677161267,14.65034912,0.000691888,0.034987387,CHOp24,*D. simulans*,Fat Body
-0.778348475,4.204081114,14.64244644,0.000693769,0.034987387,CG1648,*D. simulans*,Fat Body
-0.449209061,6.670724217,14.55842559,0.000714115,0.034987387,Atg3,*D. simulans*,Fat Body
-0.342043049,8.017370135,14.53857503,0.000719015,0.034987387,Rpn7,*D. simulans*,Fat Body
-0.748164538,4.14855777,14.53150826,0.000720769,0.034987387,Tsp2A,*D. simulans*,Fat Body
-0.558582509,6.668757011,14.52590285,0.000722163,0.034987387,Pfrx,*D. simulans*,Fat Body
