"dmel_gene","tissue","treatment","logFC.hyb_sim","logCPM.hyb_sim","F.hyb_sim","PValue.hyb_sim","FDR.hyb_sim","logFC.hyb_sec","logCPM.hyb_sec","F.hyb_sec","PValue.hyb_sec","FDR.hyb_sec"
"CG9338","Haemocytes","Control",2.27517508954367,10.81063944284,47.9504105355273,6.15750141183365e-06,9.99409844536077e-05,1.41750842645093,10.81063944284,19.671195388261,0.000533289962719385,0.00781417931484654
"CG9338","Haemocytes","Response",-3.12992265466414,10.81063944284,47.5713332628928,6.43822952341118e-06,0.000435405906871718,0.346265642840403,10.81063944284,0.60957623496443,0.447632666650505,0.879828203904642
"CG9338","Haemocytes","Wasp",-0.854747565120476,10.81063944284,7.33236386593647,0.0166992444172248,0.108038717074836,1.76377406929134,10.81063944284,29.8651898638051,7.62277608968558e-05,0.00120154230030216
"CG9344","Haemocytes","Control",0.0964876298960522,4.91934801008177,0.267487553864926,0.612899358850886,0.730466361938188,0.643119430532453,4.91934801008177,11.7223318980202,0.00398426626812392,0.0296014148793714
"CG9344","Haemocytes","Response",-0.268147618393183,4.91934801008177,1.03096654802589,0.326741673094456,0.646668430322351,0.474599043319798,4.91934801008177,3.19210822504947,0.0951258669268518,0.868568266367316
"CG9344","Haemocytes","Wasp",-0.171659988497131,4.91934801008177,0.84334818920481,0.37361477258986,0.674556491414881,1.11771847385225,4.91934801008177,34.4442270875857,3.6891426764637e-05,0.000707644640667129
"CG9346","Haemocytes","Control",0.318295985202797,6.03510504431496,4.48958600460723,0.051998631198718,0.122671189433469,-0.137439549751679,6.03510504431496,0.842831833144371,0.373757028752762,0.568355787058443
"CG9346","Haemocytes","Response",0.121102561019357,6.03510504431496,0.325188885851985,0.577323526947299,0.824390600497359,-0.317712557361457,6.03510504431496,2.25348980015081,0.154987899515803,0.868568266367316
"CG9346","Haemocytes","Wasp",0.439398546222155,6.03510504431496,8.52350223712819,0.0109654059035116,0.084029030102888,-0.455152107113136,6.03510504431496,9.22689214301383,0.00865857048720945,0.0358789939670305
"CG9356","Haemocytes","Control",0.465364611890593,2.54187247593751,1.63206763068351,0.221693568781337,0.360329552273818,0.16823473152478,2.54187247593751,0.216120688373716,0.648985495220259,0.795399276785981
"CG9356","Haemocytes","Response",-0.435688954409175,2.54187247593751,0.71109472977818,0.412912624046846,0.723866431321739,-0.0931838519040088,2.54187247593751,0.0327679873443118,0.85888352314933,0.967180036431713
"CG9356","Haemocytes","Wasp",0.0296756574814177,2.54187247593751,0.00655287044322272,0.936599745892744,0.976782060020606,0.075050879620771,2.54187247593751,0.0421827898614343,0.84015591665402,0.891758062582868
"CG9360.CG3301.Dsim_GD15972","Haemocytes","Control",-7.81026197095215,3.97475476856724,36.6606427823049,3.14318905902636e-05,0.000370096479606341,-5.2121239333993,3.97475476856724,18.3667039396434,0.000777136711150552,0.010172198886648
"CG9360.CG3301.Dsim_GD15972","Haemocytes","Response",4.49764430861845,3.97475476856724,7.64902859788885,0.0153277554051627,0.0928288286592803,3.01234991059935,3.97475476856724,3.41822074450717,0.0860037963666824,0.868568266367316
"CG9360.CG3301.Dsim_GD15972","Haemocytes","Wasp",-3.3126176623337,3.97475476856724,9.39858760495643,0.00849812869307732,0.0714954208229391,-2.19977402279995,3.97475476856724,4.18635075788532,0.0602867733696303,0.137548758444983
