"seqnames","library","treatment","count.sim","count.sec"
"BomS1","hyb.c.8","Control",3718,1382
"BomS1","hyb.c.9","Control",4012,1035
"BomS1","hyb.gdna.1","gDNA",1791,1622
"BomS1","hyb.gdna.2","gDNA",1716,1618
"BomS1","hyb.gdna.3","gDNA",1563,1507
"BomS1","hyb.w.1","Wasp",2916,1475
"BomS1","hyb.w.10","Wasp",3293,1669
"BomS1","hyb.w.2","Wasp",3515,1155
"BomS1","hyb.w.3","Wasp",3996,243
"BomS1","hyb.w.4","Wasp",2387,962
"BomS1","hyb.w.5","Wasp",3597,1104
"BomS1","hyb.w.6","Wasp",3352,986
"BomS1","hyb.w.7","Wasp",3620,1468
"BomS1","hyb.w.8","Wasp",4362,2221
"BomS1","hyb.w.9","Wasp",3734,1875
"CecA1","hyb.c.1","Control",2152,1787
"CecA1","hyb.c.10","Control",1114,1552
"CecA1","hyb.c.2","Control",1720,1984
"CecA1","hyb.c.3","Control",1577,2166
"CecA1","hyb.c.4","Control",1476,2312
"CecA1","hyb.c.5","Control",1501,2347
"CecA1","hyb.c.6","Control",2172,2169
"CecA1","hyb.c.7","Control",1546,1618
"CecA1","hyb.c.8","Control",1785,2014
"CecA1","hyb.c.9","Control",1496,2110
"CecA1","hyb.gdna.1","gDNA",1972,2079
"CecA1","hyb.gdna.2","gDNA",1401,1268
"CecA1","hyb.gdna.3","gDNA",1737,1776
"CecA1","hyb.w.1","Wasp",858,2390
"CecA1","hyb.w.10","Wasp",1527,1784
"CecA1","hyb.w.2","Wasp",1598,2302
"CecA1","hyb.w.3","Wasp",645,2697
"CecA1","hyb.w.4","Wasp",1257,1334
"CecA1","hyb.w.5","Wasp",987,2257
"CecA1","hyb.w.6","Wasp",792,2165
"CecA1","hyb.w.7","Wasp",1515,2044
"CecA1","hyb.w.8","Wasp",2510,2573
"CecA1","hyb.w.9","Wasp",1637,2318
"CecC","hyb.c.1","Control",820,445
"CecC","hyb.c.10","Control",1807,1026
"CecC","hyb.c.2","Control",1540,830
"CecC","hyb.c.3","Control",1427,901
"CecC","hyb.c.4","Control",2005,876
"CecC","hyb.c.5","Control",2155,1075
"CecC","hyb.c.6","Control",1373,784
"CecC","hyb.c.7","Control",1984,852
"CecC","hyb.c.8","Control",1555,497
"CecC","hyb.c.9","Control",1340,728
"CecC","hyb.gdna.1","gDNA",1415,1370
"CecC","hyb.gdna.2","gDNA",1696,1423
"CecC","hyb.gdna.3","gDNA",1535,1381
"CecC","hyb.w.1","Wasp",1662,2224
"CecC","hyb.w.10","Wasp",2249,1212
"CecC","hyb.w.2","Wasp",1142,1240
"CecC","hyb.w.3","Wasp",1609,1961
"CecC","hyb.w.4","Wasp",1445,870
"CecC","hyb.w.5","Wasp",1020,2154
"CecC","hyb.w.6","Wasp",1369,1278
"CecC","hyb.w.7","Wasp",1852,956
"CecC","hyb.w.8","Wasp",1283,838
"CecC","hyb.w.9","Wasp",2184,1516
"TotB","hyb.c.1","Control",304,13
"TotB","hyb.c.10","Control",604,295
"TotB","hyb.c.2","Control",502,101
"TotB","hyb.c.3","Control",272,250
"TotB","hyb.c.4","Control",1525,538
"TotB","hyb.c.5","Control",591,164
"TotB","hyb.c.6","Control",255,29
"TotB","hyb.c.7","Control",126,46
"TotB","hyb.c.8","Control",211,29
"TotB","hyb.c.9","Control",553,312
"TotB","hyb.gdna.1","gDNA",1717,1671
"TotB","hyb.gdna.2","gDNA",1062,1075
"TotB","hyb.gdna.3","gDNA",1503,1355
"TotB","hyb.w.1","Wasp",749,116
"TotB","hyb.w.10","Wasp",1503,382
"TotB","hyb.w.2","Wasp",374,14
"TotB","hyb.w.3","Wasp",572,46
"TotB","hyb.w.4","Wasp",248,5
"TotB","hyb.w.5","Wasp",49,NA
"TotB","hyb.w.6","Wasp",208,NA
"TotB","hyb.w.7","Wasp",242,50
"TotB","hyb.w.8","Wasp",177,68
"TotB","hyb.w.9","Wasp",249,99
