"dmel_gene","logFC.cis","logCPM.cis","F.cis","PValue.cis","FDR.cis","logFC.trans","logCPM.trans","F.trans","PValue.trans","FDR.trans","logFC.total","logCPM.total","F.total","PValue.total","FDR.total","Category","Category.factor","Cat.main.factor","Cat.main","sub.cat"
"CG12054",0.0905054537873722,2.45416019905678,0.182284427656125,0.674057550339182,0.786611547119633,0.0853120208311453,2.45416019905678,0.0860367190427191,0.770981715992289,0.89551382579843,0.175817474618517,2.45416019905678,0.780593526877526,0.38289137240043,0.46449883531683,"Conserved",7,7,"Conserved","Conserved"
"CG12056",0.0858715302921572,3.82674701435031,0.145883792902743,0.704772443614727,0.810463844554866,0.262659784529387,3.82674701435031,0.745177962575284,0.393789672576034,0.639248900042573,0.348531314821545,3.82674701435031,2.89645006530717,0.0974996338016548,0.146721889872932,"Conserved",7,7,"Conserved","Conserved"
"CG12065",1.88660679284881,3.69652672449807,29.1144884158992,4.63659578086672e-06,3.33902093262706e-05,0.248596279936281,3.69652672449807,0.27631997863527,0.602389958154122,0.795872295152308,2.13520307278509,3.69652672449807,44.9300806739769,8.62274940800057e-08,6.49188512247801e-07,"Cis only",1,1,"Cis related","Cis only"
"CG1208",0.174597334160699,2.93833226175987,0.029262876220248,0.865196814053058,0.921973615489952,-0.637746704696402,2.93833226175987,0.198093762445511,0.65911066687328,0.834138300003037,-0.463149370535704,2.93833226175987,0.210451360635265,0.649359913975071,0.714972172067832,"Conserved",7,7,"Conserved","Conserved"
"CG12084",-0.453087760140343,4.81098090389016,14.7975578203889,0.000476474740871784,0.00197464802951785,-0.0749545536749022,4.81098090389016,0.208870058310984,0.650433003500112,0.830421786842769,-0.528042313815245,4.81098090389016,21.2542841991604,5.02050425413952e-05,0.000191163874626968,"Cis only",1,1,"Cis related","Cis only"
"CG12091",-1.65111170195667,5.43032278505651,239.503266770663,2.24125406622846e-17,2.47484254557538e-15,-0.490046025277266,5.43032278505651,11.2490507407472,0.00190264829829332,0.0317343382374727,-2.14115772723393,5.43032278505651,415.241780244692,3.33160747311813e-21,6.6219030135696e-19,"Cis+Trans",4,4,"Cis+Trans","Cis+Trans"
"CG12096",0.397956098414865,4.9983171842449,7.72953265451204,0.00862642638021921,0.0243411202063085,-0.117188655667842,4.9983171842449,0.345555035205741,0.560353308733173,0.768745331611026,0.280767442747023,4.9983171842449,4.07955727818063,0.0509862430671902,0.0843939512994231,"Ambiguous_cis.but.no.total",1.1,1,"Cis related","Cis*"
"CG12099",-0.198918616975845,6.49257894915601,2.38620378327396,0.131260442422881,0.23120635887958,0.382287631377838,6.49257894915601,4.44168298939352,0.0421867475082857,0.185181933187873,0.183369014401993,6.49257894915601,2.06023443015622,0.159921057723189,0.223466742358416,"Conserved",7,7,"Conserved","Conserved"
"CG12104",-0.991479990709377,4.13665868986371,26.229110917883,1.06693480183556e-05,6.9941939713996e-05,-0.828925930610287,4.13665868986371,9.71125892026021,0.00361241086754552,0.0455585522863799,-1.82040592131966,4.13665868986371,96.0188704871615,1.20913707327512e-11,2.33782183544905e-10,"Cis+Trans",4,4,"Cis+Trans","Cis+Trans"
"CG12106",-1.05280336596756,2.55429825456052,27.3163821181473,7.74325175602501e-06,5.26350451103807e-05,0.367448273659878,2.55429825456052,1.77412115636442,0.191343498190896,0.436219932410684,-0.685355092307683,2.55429825456052,13.0880455363075,0.000914345915698829,0.00248408138606205,"Cis only",1,1,"Cis related","Cis only"
"CG12107",-0.249601680863858,5.98526964192934,4.77086455986935,0.0356209327989022,0.0804181804078805,0.649106662984715,5.98526964192934,16.300590528158,0.000274356142403064,0.0094242300246782,0.399504982120857,5.98526964192934,12.4762684747003,0.00116230397305073,0.0030704351100952,"Trans only",2,2,"Trans related","Trans only"
"CG12112",-0.106702196764841,2.80090536578586,0.185158244998818,0.669572852699521,0.783506781502223,-1.45861297141615,2.80090536578586,17.5686131206565,0.000174662213191378,0.00705606940933298,-1.56531516818099,2.80090536578586,40.4694847586516,2.41023403510274e-07,1.67268895536669e-06,"Trans only",2,2,"Trans related","Trans only"
"CG12116",0.0863588349018035,12.4135599314486,0.276897958073719,0.602006968157342,0.7276508452381,0.346994567620939,12.4135599314486,2.23437072405377,0.143789602176696,0.371383801753153,0.433353402522742,12.4135599314486,6.94848813240286,0.0123505655618208,0.0248360826696429,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"CG12123",-0.594778377908735,4.10704162449796,7.57659216392874,0.00924738742806354,0.0257424471316794,0.5736521343969,4.10704162449796,3.73581561943962,0.0612486109405016,0.229174960665175,-0.0211262435118348,4.10704162449796,0.0107613329152424,0.917960786636606,0.939660874357219,"Ambiguous_cis.but.no.total",1.1,1,"Cis related","Cis*"
"CG12128",0.307272064182383,4.47900360066056,2.90217714991092,0.0971816575440619,0.183053698383792,-0.0235254988664416,4.47900360066056,0.00913597434726665,0.924388708043287,0.975305249745981,0.283746565315942,4.47900360066056,2.80399190025893,0.102800319253659,0.153674725141827,"Conserved",7,7,"Conserved","Conserved"
"CG12129",0.276991036919812,5.2482222509968,4.39633701826819,0.0431909635016056,0.0946695622582613,-0.0531298006467475,5.2482222509968,0.0834770936422906,0.774316448927756,0.897289746903456,0.223861236273064,5.2482222509968,3.04958741538782,0.089388250491925,0.135873422053954,"Conserved",7,7,"Conserved","Conserved"
"CG12134",0.357563282925915,4.84619672918821,2.86812052519227,0.0990900196791562,0.185733047071191,0.0662585533604202,4.84619672918821,0.051523940882547,0.821731724503292,0.926653183787259,0.423821836286336,4.84619672918821,4.4332024540734,0.0423725857916609,0.0720123228687264,"Conserved",7,7,"Conserved","Conserved"
"CG12155",-0.0790784144032707,3.48274913410721,0.1738108796657,0.679251893097811,0.789890628786104,-0.126317517935147,3.48274913410721,0.232319508038919,0.632761355837344,0.817947756804309,-0.205395932338418,3.48274913410721,1.28927781812309,0.263772977378739,0.342573947881588,"Conserved",7,7,"Conserved","Conserved"
"CG12159",-0.548393611397214,3.71272870829574,18.5903874515268,0.000122458273793915,0.000601279804824073,0.269750550871014,3.71272870829574,2.39389231438206,0.130660544066259,0.350568166017949,-0.2786430605262,3.71272870829574,5.43785206717209,0.0254866246922956,0.0465428291422334,"Cis only",1,1,"Cis related","Cis only"
"CG12163",-0.0643111907318304,7.72242274472894,0.193634290249482,0.662570781964307,0.777405954092241,-0.338095041492566,7.72242274472894,2.68345397302855,0.110211381649202,0.31932382239935,-0.402406232224396,7.72242274472894,7.60848413718533,0.00911404411545681,0.0191167940944301,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"CG12170",-0.157091000727543,7.61879173577147,2.28955875174995,0.139080779659822,0.243085611723411,-0.0289388874099398,7.61879173577147,0.0389889929771048,0.844594325436728,0.936900758398765,-0.186029888137483,7.61879173577147,3.23030332216772,0.0807803300859855,0.124580217317586,"Conserved",7,7,"Conserved","Conserved"
"CG12171.CG31549.Dsim_GD19803",-0.381575232253821,8.67289549832922,7.89294153250704,0.00801212568967491,0.0229069347249681,0.792998416375181,8.67289549832922,17.056385126546,0.000209301856616397,0.00806217771726262,0.411423184121359,8.67289549832922,9.18839013303355,0.00452170997192173,0.0102128985683996,"CisxTrans",3,3,"CisxTrans","CisxTrans"
"CG12171.CG31549.Dsim_GD27233",0.246831539918081,6.75482307145963,3.75489260683551,0.0606225444776202,0.124786008081729,1.03284230573201,6.75482307145963,32.8474434146919,1.65288064812835e-06,0.000292114572152624,1.27967384565009,6.75482307145963,98.6559336772135,8.46704496153697e-12,1.72429288581464e-10,"Trans only",2,2,"Trans related","Trans only"
"CG12173",-0.0141005694624949,6.26255298598569,0.0125515627270317,0.91142638508278,0.949649341051862,0.467066453398702,6.26255298598569,6.93435343664571,0.0124321769404229,0.0946025837932025,0.452965883936207,6.26255298598569,13.1124188503331,0.000905715304336538,0.00246602703958809,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"CG12177",-1.1500377024589,6.17159333187592,54.7366204078995,1.06639723895145e-08,1.43602381581294e-07,-0.0676031390892661,6.17159333187592,0.0978294101403879,0.756276330551978,0.887142843841544,-1.21764084154817,6.17159333187592,62.5180225309729,2.39543535931676e-09,2.56383801116501e-08,"Cis only",1,1,"Cis related","Cis only"
"CG12204",-0.561066581069542,4.2366533072905,13.5955000622512,0.000751387206165273,0.0029352539523862,0.229893205053811,4.2366533072905,1.18751201490703,0.28315847146563,0.535981110414972,-0.331173376015731,4.2366533072905,5.11702576014984,0.0299016240426576,0.0533888501142528,"Ambiguous_cis.but.no.total",1.1,1,"Cis related","Cis*"
"CG12213",0.0626374330299373,3.03826759152757,0.144205360916501,0.706393126796524,0.811951757356449,-0.0796325395241466,3.03826759152757,0.123163151379886,0.727698572151942,0.871099543489039,-0.0169951064942093,3.03826759152757,0.0119059043287973,0.913725068910011,0.936878210043968,"Conserved",7,7,"Conserved","Conserved"
"CG12219",0.0190212830438112,3.17265836786828,0.016343842412229,0.901545214827637,0.944990268655688,-0.153445567995497,3.17265836786828,0.556340960804852,0.497755874754674,0.719415049929022,-0.134424284951686,3.17265836786828,0.894875127846364,0.350540756589643,0.432917851266906,"Conserved",7,7,"Conserved","Conserved"
"CG12236",-0.096082147060741,1.25964054889074,0.0634208609436794,0.802617766754524,0.878073025760289,0.410735753390554,1.25964054889074,0.604372519412815,0.442053721857195,0.678370890644967,0.314653606329813,1.25964054889074,0.738876767395183,0.395776311269006,0.476985809045766,"Conserved",7,7,"Conserved","Conserved"
